,index,datetime,IF2103,IF2012,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account
0,1200,2020-09-21 09:29:59.999997,4645.0,4697.0,-52.0,-65.3009708737861,-62.9800166527891,13.300970873786099,8,-4,0,0,-8761.165048543318,-8761.165048543318
1,1201,2020-09-21 09:31:00.000002,4643.2,4695.4,-52.1999999999998,-65.2868238557556,-62.9801831806825,13.086823855755803,8,-4,0,0,-8521.165048543562,-8521.165048543562
2,1202,2020-09-21 09:31:59.999998,4639.2,4690.0,-50.8000000000001,-65.2699029126211,-62.9798501248956,14.46990291262101,8,-4,0,0,-10201.165048543204,-10201.165048543204
3,1203,2020-09-21 09:33:00.000003,4632.8,4684.4,-51.5999999999994,-65.2546463245489,-62.9800166527891,13.654646324549503,8,-4,0,0,-9241.165048544042,-9241.165048544042
4,1204,2020-09-21 09:33:59.999999,4625.0,4674.0,-49.0,-65.2368932038832,-62.9781848459614,16.2368932038832,8,-4,0,0,-12361.165048543318,-12361.165048543318
5,1205,2020-09-21 09:35:00.000004,4631.2,4682.2,-51.0,-65.2213592233007,-62.9771856786009,14.221359223300695,8,-4,0,0,-9961.165048543318,-9961.165048543318
6,1206,2020-09-21 09:36:00.000000,4624.4,4674.2,-49.8000000000001,-65.2041608876557,-62.9770191507075,15.404160887655607,8,-4,0,0,-11401.165048543204,-11401.165048543204
7,1207,2020-09-21 09:36:59.999996,4621.8,4671.4,-49.5999999999994,-65.1839112343964,-62.9765195670272,15.583911234397007,8,-4,0,0,-11641.165048544042,-11641.165048544042
8,1208,2020-09-21 09:38:00.000001,4622.6,4673.4,-50.7999999999992,-65.1647711511786,-62.9778517901746,14.364771151179397,8,-4,0,0,-10201.165048544277,-10201.165048544277
9,1209,2020-09-21 09:38:59.999997,4618.0,4667.8,-49.8000000000001,-65.1450762829401,-62.9785179017483,15.34507628294,8,-4,0,0,-11401.165048543204,-11401.165048543204
10,1210,2020-09-21 09:40:00.000002,4617.4,4668.8,-51.4000000000005,-65.1287101248263,-62.9786844296417,13.728710124825795,8,-4,0,0,-9481.165048542714,-9481.165048542714
11,1211,2020-09-21 09:40:59.999998,4617.0,4669.8,-52.8000000000001,-65.1134535367542,-62.9801831806825,12.313453536754096,8,-4,0,0,-7801.165048543203,-7801.165048543203
12,1212,2020-09-21 09:42:00.000003,4620.2,4670.0,-49.8000000000001,-65.092649098474,-62.9783513738548,15.292649098473902,8,-4,0,0,-11401.165048543204,-11401.165048543204
13,1213,2020-09-21 09:42:59.999999,4617.2,4666.6,-49.4000000000005,-65.0735090152563,-62.9765195670272,15.673509015255803,8,-4,0,0,-11881.165048542714,-11881.165048542714
14,1214,2020-09-21 09:44:00.000004,4610.0,4661.2,-51.1999999999998,-65.0560332871009,-62.9750208159864,13.856033287101106,8,-4,0,0,-9721.165048543562,-9721.165048543562
15,1215,2020-09-21 09:45:00.000000,4617.0,4667.2,-50.1999999999998,-65.0371705963936,-62.9728559533719,14.837170596393797,8,-4,0,0,-10921.165048543562,-10921.165048543562
16,1216,2020-09-21 09:45:59.999996,4621.0,4673.8,-52.8000000000001,-65.0208044382799,-62.9745212323061,12.2208044382798,8,-4,0,0,-7801.165048543203,-7801.165048543203
17,1217,2020-09-21 09:47:00.000001,4622.6,4673.2,-50.5999999999994,-65.0036061026349,-62.9753538717733,14.403606102635507,8,-4,0,0,-10441.165048544042,-10441.165048544042
18,1218,2020-09-21 09:47:59.999997,4621.2,4671.6,-50.4000000000005,-64.9875173370316,-62.9741881765193,14.587517337031102,8,-4,0,0,-10681.165048542714,-10681.165048542714
19,1219,2020-09-21 09:49:00.000002,4617.6,4666.4,-48.7999999999992,-64.9658807212202,-62.970524562864,16.165880721221,8,-4,0,0,-12601.165048544277,-12601.165048544277
20,1220,2020-09-21 09:49:59.999998,4613.0,4664.4,-51.3999999999996,-64.9492371705961,-62.9690258118232,13.549237170596506,8,-4,0,0,-9481.165048543799,-9481.165048543799
21,1221,2020-09-21 09:51:00.000003,4616.0,4666.2,-50.1999999999998,-64.9312066574199,-62.9665278934219,14.73120665742011,8,-4,0,0,-10921.165048543562,-10921.165048543562
22,1222,2020-09-21 09:51:59.999999,4617.6,4668.4,-50.7999999999992,-64.9131761442438,-62.964196502914,14.113176144244605,8,-4,0,0,-10201.165048544277,-10201.165048544277
23,1223,2020-09-21 09:53:00.000004,4615.4,4666.6,-51.2000000000007,-64.8970873786404,-62.961865112406,13.697087378639708,8,-4,0,0,-9721.16504854248,-9721.16504854248
24,1224,2020-09-21 09:54:00.000000,4619.6,4670.2,-50.5999999999994,-64.8793342579747,-62.9601998334718,14.279334257975307,8,-4,0,0,-10441.165048544042,-10441.165048544042
25,1225,2020-09-21 09:54:59.999996,4622.8,4673.6,-50.8000000000001,-64.862968099861,-62.958701082431,14.06296809986091,8,-4,0,0,-10201.165048543204,-10201.165048543204
26,1226,2020-09-21 09:56:00.000001,4615.8,4668.6,-52.8000000000001,-64.8474341192785,-62.9572023313902,12.047434119278407,8,-4,0,0,-7801.165048543203,-7801.165048543203
27,1227,2020-09-21 09:56:59.999997,4613.2,4666.0,-52.8000000000001,-64.8335644937584,-62.9570358034968,12.033564493758306,8,-4,0,0,-7801.165048543203,-7801.165048543203
28,1228,2020-09-21 09:58:00.000002,4612.0,4664.8,-52.8000000000001,-64.816088765603,-62.9578684429639,12.016088765602902,8,-4,0,0,-7801.165048543203,-7801.165048543203
29,1229,2020-09-21 09:58:59.999998,4607.2,4660.8,-53.6000000000003,-64.8036061026349,-62.95670274771,11.203606102634602,8,-4,0,0,-6841.165048542959,-6841.165048542959
30,1230,2020-09-21 10:00:00.000003,4611.6,4664.8,-53.1999999999998,-64.789181692094,-62.9548709408823,11.589181692094208,8,-4,0,0,-7321.165048543563,-7321.165048543563
31,1231,2020-09-21 10:00:59.999999,4611.2,4665.6,-54.4000000000005,-64.7769764216363,-62.9575353871771,10.376976421635803,8,-4,0,0,-5881.165048542715,-5881.165048542715
32,1232,2020-09-21 10:02:00.000004,4613.6,4667.0,-53.3999999999996,-64.7625520110954,-62.9552039966692,11.362552011095794,8,-4,0,0,-7081.165048543798,-7081.165048543798
33,1233,2020-09-21 10:03:00.000000,4614.8,4668.0,-53.1999999999998,-64.7467406380025,-62.9537052456284,11.54674063800271,8,-4,0,0,-7321.165048543563,-7321.165048543563
34,1234,2020-09-21 10:03:59.999996,4615.0,4668.8,-53.8000000000001,-64.7328710124824,-62.9537052456284,10.932871012482309,8,-4,0,0,-6601.165048543203,-6601.165048543203
35,1235,2020-09-21 10:05:00.000001,4613.0,4667.4,-54.3999999999996,-64.7187239944518,-62.953538717735,10.318723994452206,8,-4,0,0,-5881.165048543798,-5881.165048543798
36,1236,2020-09-21 10:05:59.999997,4610.2,4664.4,-54.1999999999998,-64.7040221914005,-62.9547044129889,10.5040221914007,8,-4,0,0,-6121.165048543563,-6121.165048543563
37,1237,2020-09-21 10:07:00.000002,4607.2,4661.2,-54.0,-64.6879334257972,-62.9552039966692,10.687933425797198,8,-4,0,0,-6361.165048543318,-6361.165048543318
38,1238,2020-09-21 10:07:59.999998,4607.4,4660.8,-53.4000000000005,-64.6729542302355,-62.9548709408823,11.272954230235001,8,-4,0,0,-7081.165048542715,-7081.165048542715
39,1239,2020-09-21 10:09:00.000003,4609.6,4662.2,-52.5999999999994,-64.6576976421634,-62.9528726061613,12.057697642164001,8,-4,0,0,-8041.165048544042,-8041.165048544042
40,1240,2020-09-21 10:09:59.999999,4608.8,4661.8,-53.0,-64.6404993065184,-62.9525395503744,11.640499306518393,8,-4,0,0,-7561.165048543318,-7561.165048543318
41,1241,2020-09-21 10:11:00.000004,4607.4,4660.4,-53.0,-64.6224687933423,-62.9520399666942,11.622468793342307,8,-4,0,0,-7561.165048543318,-7561.165048543318
